"pid","assessed_value"
1,760892.237371429
2,85602.5423095238
3,55357.1356333333
4,143271.320706777
5,298625.2323
6,242501.76604632
7,84280.597710989
8,199214.683037873
9,114330.5507
10,334836.945757143
11,220739.944419048
12,556856.49452381
13,325255.0128
14,668000.1164
15,110594.004966667
16,305903.178466667
17,59198.2372888889
18,210811.081176191
19,130981.2429
20,154569.657733333
21,194714.444084848
22,116182.11714768
23,92078.8781333334
24,56968.120115873
25,81007.9638564102
26,442461.591833333
27,88790.434491342
28,481855.850433333
29,314801.826087179
30,263226.175533333
31,587162.886233333
32,43520.7350056499
33,717943.81212381
34,162039.6392
35,382782.001333333
36,244537.9002
37,152591.582184002
38,383105.0237
39,649776.337528571
40,253011.340236364
41,297136.582666667
42,206238.947804762
43,136757.825933333
44,305081.308495238
45,250474.105961905
46,206116.521966667
47,291252.180384127
48,363219.8159
49,137072.705633333
50,219640.172923623
51,259684.9918
52,102047.556633333
53,110360.769333333
54,557448.587842857
55,336285.619316667
56,71157.7905666667
57,169655.309266667
58,161098.778952381
59,180266.662686147
60,134540.593786869
61,274956.240333333
62,219514.866466667
63,77040.7507333333
64,517864.027
65,348269.201
66,154973.908152381
67,184535.736588889
68,253952.346214286
69,480417.723596826
70,78254.9050619047
71,589493.475171428
72,394146.4161
73,693657.6755
74,291112.4556
75,112487.795972727
76,145596.315268254
77,237851.534066667
78,513868.9765
79,198707.993434632
80,299656.731638095
81,144101.137921396
82,798226.251261905
83,468260.649776191
84,108573.141442857
85,610789.634433333
86,109148.076766667
87,60611.4407253968
88,238935.386071429
89,255052.216366667
90,280457.3974
91,64046.327230303
92,452113.433733333
93,1249008.2248718
94,110789.20191746
95,96993.4333222223
96,79669.6488305916
97,183568.1031
98,249307.781566667
99,124803.521283459
100,233604.605752381
101,296373.306995238
102,706101.887837255
103,302910.823663636
104,265177.663985714
105,172629.030713333
106,302508.727541991
107,63709.3901428571
108,156740.44368366
109,1041693.90844286
110,293828.126927536
111,112324.567931746
112,169346.324830303
113,362736.911197436
114,323754.231530303
115,377260.701090476
116,299094.0177
117,210330.9569
118,210424.23469697
119,262285.081119048
120,486849.059399567
121,808197.932433333
122,100336.017957143
123,349001.835519048
124,331508.156566667
125,187748.728022222
126,516396.755965079
127,46046.6881
128,381053.01552381
129,575917.519914286
130,321316.691004762
131,329346.7276
132,426178.757490476
133,128845.472990476
134,593136.7861
135,202190.266033333
136,662768.625433333
137,270318.1253
138,280343.035366667
139,289524.467080952
140,134333.705709142
141,334862.4657
142,193119.35162381
143,173213.453428571
144,207090.93134591
145,63559.8176571429
146,588853.523163004
147,528014.604510878
148,114890.822761905
149,92888.1326095238
150,751020.0394
151,319885.585087302
152,201480.033895238
153,210312.458125541
154,182448.860780952
155,783329.550571429
156,374849.390590476
157,355850.788104396
158,37910.7559435898
159,246705.12899881
160,147095.310671429
161,376443.664366667
162,168961.073087302
163,152330.017288889
164,849278.842633333
165,597785.067833333
166,444011.215461905
167,1217102.45403333
168,47689.4123749175
169,308118.737066667
170,574473.774666667
171,301178.242355556
172,232706.712333333
173,203378.974474603
174,271956.764933333
175,80385.1050940116
176,529894.804266667
177,92531.5537428572
178,282596.6899
179,112182.075685714
180,126321.430533333
181,83482.3279111111
182,212972.489266667
183,229053.144940873
184,107819.461138095
185,149271.86293088
186,210208.747412121
187,119641.038757937
188,194154.853533333
189,323902.407487879
190,338346.8186
191,46410.2281523809
192,203264.860609158
193,34546.3154968254
194,284884.100469841
195,294562.747490476
196,62174.1192333333
197,158678.136914286
198,332740.695366667
199,189098.555757143
200,272564.358828571
201,161308.67035
202,412524.911342336
203,414823.138066667
204,86683.0694190476
205,125909.344374603
206,74361.4275923077
207,558199.332633333
208,117406.2059
209,213176.884494381
210,394293.549514286
211,123595.360539827
212,262589.5157
213,276449.251142857
214,279193.563266667
215,70184.6651294118
216,170063.42407851
217,157393.301346032
218,245783.761009524
219,1005803.84956667
220,207589.173810256
221,253186.483033333
222,294560.309
223,1607409.71753333
224,431254.4785
225,288596.849536508
226,316035.709198413
227,186706.221033333
228,228415.461066667
229,424757.9798
230,194946.089455556
231,261306.916561905
232,84720.2625111111
233,255496.869238095
234,178635.5434
235,687801.045433334
236,685764.552084615
237,348367.263933333
238,778088.430509524
239,99474.8759507937
240,978454.553647619
241,307835.619655556
242,1340413.1012
243,137781.423352092
244,111172.378766667
245,403335.513222222
246,376350.239542857
247,137524.784580952
248,102890.030896296
249,99725.119
