sale_price,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
23000,203,12,12084,64800,16800,NA,O,6720,58,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1054,2,1,1,NA,NA,NA,CHICAGO HEIGHTS,60411,3542,0.07679277244494635,0.4297007340485602,2.82326369282891e-4,0.45087521174477696,0.04432523997741389,14026,Chicago Heights,0,0,1,0,0,0,SCHOOL DISTRICT  170,BLOOM TOWNSHIP HIGH SCHOOL  206,19.279,26167,FALSE,TRUE,TRUE
95000,211,70,70120,126710,33480,NA,W,3720,96,2,2,1,10,6,1,3,2,5,2,0,3,2,0,2,2,2,2,4,2,2,2,0,2756,2,2,2,NA,NA,NA,CHICAGO,60619,4890,0.03006134969325153,0.9251533742331288,0,0.02310838445807771,0.04335378323108384,14000,Chicago,0,0,1,0,0,0,RUGGLES,HIRSCH HS,7.260601783060921,26508,FALSE,TRUE,TRUE
234900,205,12,12051,190650,33750,AV,W,9000,65,NA,3,1,8,4,1,3,1,5,1,0,2,2,1,2,2,2,2,1,2,1,2,0,2008,2,1,2,3,NA,1,FLOSSMOOR,60422,5669,0.35791144822720056,0.46004586346798376,0.00970188745810548,0.15628858705239018,0.02645969306756041,26571,Flossmoor,0,0,1,0,0,0,SCHOOL DISTRICT 161,HOMEWOOD FLOSSMOOR COMM HIGH SCHOOL  233,17.751,88225,FALSE,TRUE,TRUE
110000,203,72,72071,73610,33020,NA,W,4128,89,NA,2,1,6,3,1,3,2,5,2,0,1,1,0,NA,NA,2,2,3,2,2,2,0,1486,2,1,1,3,NA,1,CHICAGO,60629,5845,0.04242942686056458,0.5045337895637296,0,0.4352437981180496,0.03558597091531223,14000,Chicago,0,0,1,0,0,0,MARQUETTE,GAGE PARK HS,7.314,27423,FALSE,TRUE,TRUE
640000,206,38,38052,379790,61870,NA,W,9900,75,NA,3,1,8,4,1,3,1,5,1,1,3,2,1,2,NA,2,2,3,2,2,2,0,2356,2,1,2,NA,NA,NA,ARLINGTON HEIGHTS,60005,6159,0.8934892027926612,0.0034096444227959,0.04611138171781133,0.04059100503328462,0.0232180548790388,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,10.497,116667,FALSE,TRUE,TRUE
195000,203,22,22111,353430,53120,NA,T,6250,99,NA,2,1,5,3,1,3,2,5,2,0,3,1,0,NA,NA,2,2,4,1,2,2,0,1363,2,1,1,NA,NA,NA,PARK RIDGE,60068,4826,0.8723580605055947,0.00476585163696643,0.01968503937007874,0.07666804807293826,0.05304600082884376,57875,Park Ridge,0,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,9.831,90504,FALSE,TRUE,TRUE
520000,205,17,17110,308910,45370,NA,W,5500,93,NA,1,1,8,3,1,3,1,5,2,2,3,2,0,2,2,2,2,3,1,2,2,0,1934,2,1,2,NA,NA,1,EVANSTON,60202,3162,0.5468058191018342,0.2814674256799494,0.04206198608475648,0.09709044908285897,0.06514864010120178,24582,Evanston,0,0,2,1,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,9.884,77162,FALSE,TRUE,TRUE
160000,202,71,71071,192500,48760,NA,W,3612,103,NA,1,1,4,2,1,3,2,5,2,0,1,1,0,NA,NA,2,2,3,1,2,2,0,750,2,1,1,3,NA,1,CHICAGO,60630,4264,0.3093339587242026,0.04268292682926829,0.16580675422138838,0.4552063789868668,0.05393996247654784,14000,Chicago,0,0,1,0,0,0,HAUGAN,ROOSEVELT HS,7.29,62264,FALSE,TRUE,TRUE
60400,202,31,31030,58180,23450,NA,O,6700,60,NA,1,1,4,2,2,3,1,5,2,0,2,1,0,2,NA,2,2,2,1,2,2,0,768,2,1,1,3,NA,NA,BROADVIEW,60155,5717,0.13031310127689347,0.7818786076613609,0.0127689347559909,0.02221444813713486,0.1056498163372398,08446,Broadview,0,0,1,0,0,0,SCHOOL DISTRICT 92,PROVISO TOWNSHIP HIGH SCHOOL 209,15.528,47847,FALSE,TRUE,TRUE
367000,211,17,17112,333750,61420,NA,T,5850,91,2,2,2,10,5,1,3,1,5,2,0,3,2,0,2,2,2,2,3,2,2,2,0,3108,2,2,2,NA,NA,NA,EVANSTON,60202,6347,0.38364581692138017,0.3247203403182606,0.0809831416417205,0.1832361745706633,0.05215062234126359,24582,Evanston,0,0,1,0,0,0,SCHOOL DISTRICT C C  65,EVANSTON TOWNSHIP HIGH SCHOOL  202,9.884,61743,FALSE,TRUE,TRUE
